Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Apr-18,1892,1934.5,1892,1930.45,1919.258521016500060219,66424,2226,127484828,22921,34.51,42.5,38.45
03-Apr-18,1925,1925,1911.8,1916.1,1916.838177424922333448,43455,2877,83296203,17665,40.65,13.2,-8.9
04-Apr-18,1917.5,1925.1,1880.25,1884.8,1900.611882646736494134,111322,1997,211579916,73255,65.8,44.85,-32.7
05-Apr-18,1909.95,1914,1892.45,1907.7,1902.217231008052779664,51535,1478,98030765,19866,38.55,21.55,-2.25
06-Apr-18,1911,1926.05,1906.6,1922.7,1919.188834077572300282,42773,1296,82089464,11947,27.93,19.45,11.7
09-Apr-18,1922.5,1941.2,1919.15,1938.5,1936.266400736422215403,48885,2650,94654383,21233,43.43,22.05,16
10-Apr-18,1950,1950,1914.15,1919.1,1921.183241826803094584,48084,2235,92378175,17738,36.89,35.85,-30.9
11-Apr-18,1922,1922,1904.85,1916.25,1913.887891300172844248,20828,926,39862457,7935,38.1,17.15,-5.75
12-Apr-18,1924.9,1930,1905.45,1926.3,1920.760750757315511695,32021,1285,61504680,11134,34.77,24.55,1.4
13-Apr-18,1927,1938.85,1920,1928.05,1930.328403044000686616,34954,1534,67472699,14812,42.38,18.85,1.05
16-Apr-18,1923.9,1948.95,1922.35,1938.65,1938.610110621406263681,34261,1434,66418721,14358,41.91,26.6,14.75
17-Apr-18,1940,1955,1935,1947.4,1944.783745164325793747,28693,1356,55801680,8812,30.71,20,7.4
18-Apr-18,1949,1953.4,1933,1937.05,1945.010778818641476894,25513,1200,49623060,8516,33.38,20.4,-11.95
19-Apr-18,1938,1945,1934.1,1941.95,1939.404017780228110678,29021,996,56283444,10104,34.82,10.9,3.95
20-Apr-18,1942,1967.9,1932.85,1960.95,1946.050916195095661546,74220,1816,144435899,22203,29.92,35.05,18.95
23-Apr-18,1984,1984,1894.85,1933.05,1946.184041627681751776,243684,6832,474253912,55279,22.68,89.15,-50.95
24-Apr-18,1938.7,1948.6,1927,1936,1936.340559933764680629,65222,1970,126292004,24077,36.92,21.6,-2.7
