Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Apr-18,890.5,901.2,886.4,892.7,894.741046046472040173,469960,11393,420492502,266837,56.78,14.8,2.2
03-Apr-18,890,901,886.1,898.8,892.119040152386262006,172194,3819,153617546,49256,28.6,14.9,8.8
04-Apr-18,905.5,911.15,892.35,895.1,900.862893790586593677,186330,4054,167857783,61876,33.21,18.8,-10.4
05-Apr-18,902.55,910,902.55,906.75,906.228587934378067035,465637,5262,421973561,271799,58.37,7.45,4.2
06-Apr-18,909.9,917.2,905,909.75,911.158297967335830129,421073,5884,383664158,210382,49.96,12.2,-0.15
09-Apr-18,912.95,917.75,911.4,916.05,915.380146698591665919,289846,3741,265319274,147982,51.06,6.35,3.1
10-Apr-18,918,922.45,913.35,916.45,917.237483617300131061,518840,5209,475899496,300705,57.96,9.1,-1.55
11-Apr-18,920.1,931,916.65,929.05,927.690465113127690424,442774,7573,410757218,210096,47.45,14.35,8.95
12-Apr-18,930,935.3,923.1,927.55,927.579473587529850158,381070,4237,353472710,212657,55.81,12.2,-2.45
13-Apr-18,931.15,941.4,929.1,938.85,935.733485851330871493,723849,9567,677329748,521654,72.07,12.3,7.7
16-Apr-18,935,939.9,928.3,937.25,933.044785738028532083,147413,2950,137542931,74326,50.42,11.6,2.25
17-Apr-18,938.25,947.5,936.1,943.7,941.844371396090999986,365055,6860,343824997,183393,50.24,11.4,5.45
18-Apr-18,945,948.25,934,937,939.485787397169641510,205557,2922,193117880,112215,54.59,14.25,-8
19-Apr-18,938.2,943.95,935.1,941.25,940.753225784419522723,366035,3423,344348607,183260,50.07,8.85,3.05
20-Apr-18,939,941.6,921.45,928.05,927.183351479113741473,214926,3479,199275809,100231,46.64,20.15,-10.95
23-Apr-18,927.3,942.95,926,935.15,935.314811788076139706,159076,3460,148786139,45987,28.91,16.95,7.85
24-Apr-18,937.7,974.5,935,969.75,959.968820653236847252,511300,11378,490832058,154076,30.13,39.5,32.05
25-Apr-18,972.55,981.45,964.5,970.7,971.498738777707513969,425381,7326,413257105,121573,28.58,16.95,-1.85
26-Apr-18,972,988,963.4,975.35,977.860782880884131067,530962,11869,519206917,145526,27.41,24.6,3.35
27-Apr-18,988.25,1010.7,988.25,994.75,998.945870012254015958,1092703,19151,1091551149,433861,39.71,22.45,6.5
30-Apr-18,984.7,992,961,963.1,969.730680196837783536,549488,14823,532855372,153539,27.94,31,-21.6
02-May-18,968.8,978.2,966.25,973,973.458405143200170407,309846,9705,301622193,99902,32.24,11.95,4.2
03-May-18,977,978.8,959.3,962.6,963.481683115714205351,319978,6539,308292942,142283,44.47,19.5,-14.4
04-May-18,963.95,964.5,949.65,953.9,954.609350048130157299,179721,6037,171563347,78990,43.95,14.85,-10.05
07-May-18,958,974,956.5,971.85,964.644672944073322541,350888,11165,338482240,166744,47.52,17.5,13.85
08-May-18,973.55,982,965.15,967.65,973.739739535214270485,337704,6241,328835805,128504,38.05,16.85,-5.9
09-May-18,967.65,982.65,962,975.3,975.197030501200327280,333659,5265,325383266,96837,29.02,20.65,7.65
10-May-18,977.1,984,974.5,980.7,980.337279733961757002,319954,8042,313662834,123112,38.48,9.5,3.6
11-May-18,982.8,990.15,977.25,988.5,984.938234677963734549,343688,7210,338511452,140530,40.89,12.9,5.7
14-May-18,993.9,993.9,976.4,984.85,983.688782776241936835,167118,5265,164392102,52045,31.14,17.5,-9.05
15-May-18,980,999.3,977,979.35,991.202571272163454761,305063,7562,302379230,110871,36.34,22.3,-0.65
16-May-18,976.3,976.3,954.4,956.45,961.539132749186011502,1288716,7546,1239150865,299595,23.25,21.9,-19.85
17-May-18,959.9,960.7,942.5,945.15,949.041759167870949861,1414396,6860,1342320868,459082,32.46,18.2,-14.75
18-May-18,946,953.55,931.5,933.4,941.189844231748840451,484887,8371,456370720,265293,54.71,22.05,-12.6
21-May-18,932,935.4,922,931.95,927.531718386712080784,233114,5205,216220629,92122,39.52,13.4,-0.05
22-May-18,933,934.2,924.5,926.9,929.621822033898305084,220896,5801,205349742,80243,36.33,9.7,-6.1
23-May-18,927,927.1,909.05,912.25,917.512366170713744099,275631,9609,252894851,118402,42.96,18.05,-14.75
24-May-18,916.7,920.95,910.85,916.05,916.529192734103755388,238484,4963,218577548,80733,33.85,10.1,-0.65
25-May-18,918.05,924.25,915.6,921.75,920.532244063460154652,175102,3836,161187037,72906,41.64,8.65,3.7
28-May-18,923.55,927.15,918.95,921,922.220518379117651622,1353411,4338,1248143394,333915,24.67,8.2,-2.55
29-May-18,920.05,927.9,914.15,917,919.990905052797311976,227379,4026,209186612,63569,27.96,13.75,-3.05
30-May-18,914,922.8,907.1,917.35,916.664461335849760973,482165,5720,441983520,208916,43.33,15.7,3.35
31-May-18,919.35,924,916.5,921.3,921.284894667758262715,2016619,7010,1857880623,815070,40.42,7.5,1.95
01-Jun-18,921.3,934.9,919.1,929.2,928.297577551998230893,2034925,5546,1889015948,1852911,91.06,15.8,7.9
04-Jun-18,934.8,943.75,932,939.35,939.162881165721294867,1868577,8483,1754898159,105184,5.63,11.75,4.55
05-Jun-18,941.25,955,941.2,947.85,949.147687343009857339,289429,6501,274710866,121237,41.89,13.8,6.6
06-Jun-18,948.9,955.4,942.55,953.4,952.240181400463845123,183682,4254,174909381,85289,46.43,12.85,4.5
07-Jun-18,955,975.6,955,971.4,970.583696735892455065,329983,7317,320276120,145324,44.04,20.6,16.4
08-Jun-18,968.9,986.5,960.55,983.4,974.264816657591858958,266305,5951,259451592,94254,35.39,25.95,14.5
11-Jun-18,984.35,999.5,978.2,982.45,993.511780280823826777,832408,7753,827007154,682713,82.02,21.3,-1.9
12-Jun-18,982.2,998,980.45,995.4,990.892382173562821587,243324,5183,241107898,92668,38.08,17.55,13.2
13-Jun-18,999,1004.9,990,1002.1,999.186076825939956821,343686,7975,343406266,125598,36.54,14.9,3.1
14-Jun-18,996.2,1011.7,988.2,1007.5,1002.799912261610033463,294056,6461,294879331,108044,36.74,23.5,11.3
15-Jun-18,1007.5,1023.5,999.75,1013.85,1015.999714241432086328,412936,13182,419542858,146759,35.54,23.75,6.35
18-Jun-18,1010.8,1018.6,1007.7,1015,1014.042933161883395803,292408,5158,296514266,132923,45.46,10.9,4.2
19-Jun-18,1015,1015,993.05,995.65,1002.346721765648858190,236423,7261,236977819,94910,40.14,21.95,-19.35
20-Jun-18,996.5,1021.75,996,1019.95,1015.903655206197511960,340911,6983,346332731,97011,28.46,25.75,23.45
21-Jun-18,1023,1035.8,1020.4,1032.35,1030.332160789317921468,444333,9542,457810580,147825,33.27,15.4,9.35
22-Jun-18,1030,1030,1008.6,1012.3,1011.994750765018824008,6655065,8066,6734890846,6219923,93.46,21.4,-17.7
25-Jun-18,1017,1017,1001.95,1003.55,1008.548410651291582900,210904,3934,212706894,59013,27.98,15.05,-13.45
26-Jun-18,1003.6,1005.05,975.5,978.7,986.145090544350466276,368880,9260,363769201,133718,36.25,29.55,-24.9
27-Jun-18,980,985.75,960.5,965.3,972.718386065583029289,354116,8206,344455144,126179,35.63,25.25,-14.7
