Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
02-Apr-18,2845,2910,2845,2902.9,2885.694425828832735443,50734,2797,146402821,13822,27.24,65,57.9
03-Apr-18,2900,2927.15,2893,2908.1,2909.008192658678095571,34299,1813,99776072,14227,41.48,34.15,8.1
04-Apr-18,2923,2933.3,2891.95,2907.05,2915.684451178988223409,37617,1739,109679302,9510,25.28,41.35,-15.95
05-Apr-18,2915.55,2962,2915.55,2957.15,2951.332662498271703562,65093,2621,192111097,33069,50.8,46.45,41.6
06-Apr-18,2941,2961.35,2927,2949.7,2945.288866883576177677,21207,1200,62460741,8279,39.04,34.35,8.7
09-Apr-18,2950,2963,2915,2921.15,2936.067507641968398846,23227,2348,68196040,9641,41.51,48,-28.85
10-Apr-18,2939,2955.85,2925.1,2931.85,2940.478008603154489979,29989,1648,88181995,7709,25.71,30.75,-7.15
11-Apr-18,2950,3026.9,2947.2,3015.5,2994.064939700394786652,92455,4638,276816274,54313,58.75,79.7,65.5
12-Apr-18,3015.5,3150,3010.15,3137.3,3093.155626915462016218,921775,7737,2851193528,824729,89.47,139.85,121.8
13-Apr-18,3149,3238,3131.1,3151,3185.647080374253184533,141936,8194,452158004,24858,17.51,106.9,2
16-Apr-18,3132,3199,3108.05,3184.8,3172.150607060740011708,117863,7252,373879187,16358,13.88,90.95,52.8
17-Apr-18,3190,3190,3149.3,3165.9,3166.635440034512510785,46360,2924,146805219,9446,20.38,40.7,-24.1
18-Apr-18,3172.95,3189.8,3147.3,3159.5,3164.428972230174634984,52395,3866,165800256,12749,24.33,42.5,-13.45
19-Apr-18,3175,3215,3166.3,3190.65,3192.570077984168038247,102072,6361,325872013,27791,27.23,48.7,15.65
20-Apr-18,3250.2,3421.25,3245,3406.4,3337.054222072530134528,771955,30055,2576055692,221977,28.76,176.25,156.2
